scenario_id,partner_type,description,economic_model,decision,expected_decision,pass_fail,compatibility_score,blockers,review_flags,uses_documented_api,has_idempotency,payment_custody_model,insurance_distribution_model,data_scope
PT-001,anchor_tenant_scaas,Enterprise shipper uses SCaaS APIs with bounded SLA credits,platform_fee_or_volume_commitment,approve,approve,pass,100,none,none,True,True,none,none,assigned_orders_only
PT-002,small_fleet_operator,SFO accepts default 10% driver commission and app-only state changes,driver_commission,approve,approve,pass,100,none,none,True,True,none,none,assigned_orders_only
PT-003,small_fleet_operator,SFO term sheet changes default commission without signed override,driver_commission,review,review,pass,85,none,driver_commission_override_required,True,True,none,none,assigned_orders_only
PT-004,transport_company,Standard transport company uses Rs 700 flat service fee,flat_service_fee,approve,approve,pass,100,none,none,True,True,none,none,assigned_orders_only
PT-005,transport_company,Standard transport company replaced by percentage revenue share,percentage_revenue_share,review,review,pass,85,none,transport_company_economics_override_required,True,True,none,none,assigned_orders_only
PT-006,strategic_alliance,Co-opetition alliance uses approved revenue share and partner scope,percentage_revenue_share,approve,approve,pass,100,none,none,True,True,none,none,assigned_orders_only
PT-007,payment_gateway,Licensed payment partner handles escrow and signed webhooks,transaction_fee,approve,approve,pass,100,none,none,True,True,regulated_partner_escrow,none,assigned_orders_only
PT-008,payment_gateway,Zippy directly holds and splits funds without legal approval,platform_held_funds,block,block,pass,55,unapproved_payment_custody,payment_model_review_required,True,True,zippy_held_funds,none,assigned_orders_only
PT-009,insurance_partner,Insurance add-on runs through approved insurer distribution path,premium_collection_partner_led,approve,approve,pass,100,none,none,True,True,none,approved_partner_led,assigned_orders_only
PT-010,insurance_partner,Term sheet says Zippy sells insurance directly without approval,direct_insurance_sale,block,block,pass,55,unapproved_insurance_distribution,insurance_model_review_required,True,True,none,zippy_direct_sale,assigned_orders_only
PT-011,dispute_workflow,DISPUTE_AI scores case and Finance approves refund within policy,sla_refund_policy,approve,approve,pass,100,none,none,True,True,none,none,assigned_orders_only
PT-012,dispute_workflow,DISPUTE_AI executes refund without L3 Finance approval,sla_refund_policy,block,block,pass,70,ai_refund_execution,none,True,True,none,none,assigned_orders_only
PT-013,loop_settlement,Loop discount applied once and refund/invoice remains per-order,loop_discount,approve,approve,pass,100,none,none,True,True,none,none,assigned_orders_only
PT-014,loop_settlement,Loop dispute cascades refund to both legs automatically,loop_discount,block,block,pass,70,loop_or_gst_isolation_broken,none,True,True,none,none,assigned_orders_only
PT-015,api_integration,Partner attempts direct database write to move order state,technology_partner,block,block,pass,40,state_machine_bypass;missing_idempotency,none,False,False,none,none,assigned_orders_only
PT-016,data_sharing,Partner requests all customer and driver data outside assigned orders,data_add_on,block,block,pass,70,overbroad_partner_data_access,none,True,True,none,none,all_customer_driver_data
